序号,岗位名称,是否AI岗位,学历,工作经验,城市,城市等级,公司规模,月薪,岗位职责
102,活动运营,否,硕士,10年以上,岳阳,三线城市,150-500人,7000,研究行业优秀活动案例，建立活动创意库；策划并执行线上营销活动（促销/拉新/裂变/节日活动）；监控活动实时数据，动态调整策略以提升效果
103,智能营销运营,是,本科,3-5年,广州,一线城市,500-2000人,12900,设计AI驱动的个性化推荐和营销自动化流程；利用AI进行营销人群定向和智能投放策略优化；结合大模型进行营销文案自动生成和多版本测试；运用AI进行A/B测试分析和营销素材智能优化
104,新媒体运营经理,否,博士,3-5年,武汉,新一线城市,15-50人,11200,研究竞品动态和行业趋势，调整运营打法；带领运营团队完成各平台粉丝增长与互动目标；分析运营数据，优化内容方向和投放策略；制定新媒体矩阵整体运营策略和年度内容规划
105,短视频运营,否,博士,10年以上,深圳,一线城市,500-2000人,28000,对接达人/KOL资源，策划合作推广内容；分析短视频数据（完播率、点赞、涨粉）优化内容；策划短视频内容选题，撰写分镜脚本；跟进拍摄和后期剪辑，把控成片质量
106,智能投放运营,是,大专,3-5年,成都,新一线城市,500-2000人,7700,搭建基于机器学习的智能出价和预算分配模型；监控AI投放ROI，持续优化模型参数和投放策略；通过AI分析投放数据，自动调整人群定向和投放时段；探索AI在跨平台投放归因分析和预算最优分配中的应用
107,AIGC内容运营,是,本科,10年以上,郑州,新一线城市,150-500人,9000,全面负责AIGC工具选型（文生图/文生视频/文生音乐）；制定AIGC内容生产SOP和质量审核流程；建立AIGC素材版权管理机制，确保合规使用
108,新媒体运营专员,否,博士,5-10年,合肥,二线城市,500-2000人,13400,撰写新媒体文案，策划选题并执行内容发布；回复用户评论和私信，维护品牌形象；跟踪热点话题，快速产出相关内容提升曝光；负责微信公众号、微博等平台的日常内容更新与维护
109,新媒体运营专员,否,本科,1-3年,芜湖,三线城市,150-500人,2800,协助策划线上活动，提升粉丝活跃度和粘性；回复用户评论和私信，维护品牌形象；撰写新媒体文案，策划选题并执行内容发布
110,新媒体运营总监,否,大专,1-3年,深圳,一线城市,50-150人,6600,建立数据驱动的运营体系，对核心KPI负责；推动新媒体与传统业务融合，探索商业变现路径；代表公司参与行业峰会，维护媒体关系和品牌声誉；搭建并管理新媒体运营团队（10-50人）；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏
111,社群运营,否,大专,1-3年,襄阳,三线城市,500-2000人,2000,制定社群SOP（群规/入群欢迎语/日常互动流程）；分析社群数据（入群率、活跃度、转化率、流失率）；处理群内投诉和负面情绪，维护社群氛围；搭建并管理微信社群/企业微信群（拉新→活跃→转化）
112,新媒体运营总监,否,硕士,3-5年,西安,新一线城市,500-2000人,12000,推动新媒体与传统业务融合，探索商业变现路径；制定公司新媒体战略方向及中长期发展规划；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏
113,新媒体运营经理,否,大专,3-5年,广州,一线城市,2000人以上,5500,管理运营预算，控制投入产出比(ROI)；带领运营团队完成各平台粉丝增长与互动目标；统筹跨部门协作，推动品牌传播项目落地；制定新媒体矩阵整体运营策略和年度内容规划
114,新媒体运营总监,否,硕士,3-5年,北京,一线城市,500-2000人,17000,搭建并管理新媒体运营团队（10-50人）；建立数据驱动的运营体系，对核心KPI负责；推动新媒体与传统业务融合，探索商业变现路径；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏
115,AI内容策划,是,本科,1-3年,上海,一线城市,150-500人,8900,结合AI数据分析用户内容偏好，制定内容策略方向；建立AI内容质量评估标准，把控机器生成内容质量；利用AIGC工具批量生产图文、视频等多模态内容；对比不同AI模型的内容产出效果，持续优化选题和prompt
116,品牌运营,否,博士,5-10年,合肥,二线城市,500-2000人,14400,管理品牌官方账号矩阵，统一视觉和语言风格；监测品牌舆情和口碑，及时进行声誉管理；分析品牌健康度指标（认知度/好感度/搜索指数）；制定品牌在新媒体渠道的传播策略和调性定位
117,社群运营,否,硕士,3-5年,贵阳,二线城市,150-500人,5400,搭建并管理微信社群/企业微信群（拉新→活跃→转化）；培养社群KOC，激励用户自发裂变拉新；策划社群活动（秒杀/拼团/打卡/直播）提升转化率
118,智能投放运营,是,大专,1年以下,北京,一线城市,150-500人,6200,通过AI分析投放数据，自动调整人群定向和投放时段；探索AI在跨平台投放归因分析和预算最优分配中的应用；监控AI投放ROI，持续优化模型参数和投放策略；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略
119,内容运营,否,大专,1-3年,杭州,一线城市,2000人以上,6200,挖掘用户内容偏好，产出针对性内容策略；管理内容日历，确保各渠道内容按时发布；分析内容数据（阅读量、完读率、转发率）持续迭代
120,活动运营,否,硕士,3-5年,重庆,新一线城市,2000人以上,10600,制定活动方案（目标/预算/流程/风险预案）；监控活动实时数据，动态调整策略以提升效果；策划并执行线上营销活动（促销/拉新/裂变/节日活动）
121,智能营销运营,是,本科,3-5年,武汉,新一线城市,15-50人,9500,通过自然语言处理(NLP)分析用户评论和舆情趋势；搭建基于机器学习的用户生命周期价值(LTV)预测模型；设计AI驱动的个性化推荐和营销自动化流程
122,AI内容策划,是,本科,3-5年,济南,二线城市,50-150人,6200,对比不同AI模型的内容产出效果，持续优化选题和prompt；探索RAG（检索增强生成）技术在内容生产中的应用；运用大语言模型辅助选题生成、内容大纲和初稿撰写；建立AI内容质量评估标准，把控机器生成内容质量；结合AI数据分析用户内容偏好，制定内容策略方向
123,AI新媒体运营,是,博士,5-10年,杭州,一线城市,150-500人,29400,训练和调优AI模型以适应垂直领域的运营需求；搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容
124,品牌运营,否,本科,5-10年,合肥,二线城市,150-500人,6600,协调外部媒体和KOL资源，扩大品牌声量；策划品牌营销事件（联名/跨界/节日营销）；分析品牌健康度指标（认知度/好感度/搜索指数）
125,社群运营,否,本科,1-3年,重庆,新一线城市,50-150人,4000,培养社群KOC，激励用户自发裂变拉新；分析社群数据（入群率、活跃度、转化率、流失率）；策划社群活动（秒杀/拼团/打卡/直播）提升转化率；处理群内投诉和负面情绪，维护社群氛围；搭建并管理微信社群/企业微信群（拉新→活跃→转化）
126,内容运营,否,本科,3-5年,南京,新一线城市,150-500人,8500,优化内容标题、封面、关键词，提升SEO/推荐效果；策划并撰写高质量原创内容（图文/视频脚本/专题）；分析内容数据（阅读量、完读率、转发率）持续迭代；管理内容日历，确保各渠道内容按时发布；建立内容素材库和分类标签体系
127,直播运营,否,博士,3-5年,厦门,二线城市,50-150人,11500,负责直播间的日常运营和排期管理；维护粉丝群，提升复购率和用户粘性；策划直播主题和脚本，协调主播和商品资源；监控直播数据（在线人数/互动率/GMV）实时调整策略；分析竞品直播间打法，迭代直播话术和节奏
128,短视频运营,否,硕士,3-5年,厦门,二线城市,50-150人,8600,跟进拍摄和后期剪辑，把控成片质量；研究平台算法规则，提升视频推荐量和曝光；分析短视频数据（完播率、点赞、涨粉）优化内容；策划短视频内容选题，撰写分镜脚本；负责抖音、快手、视频号等短视频平台的账号运营
129,新媒体运营专员,否,本科,1-3年,济南,二线城市,2000人以上,4200,撰写新媒体文案，策划选题并执行内容发布；跟踪热点话题，快速产出相关内容提升曝光；协助策划线上活动，提升粉丝活跃度和粘性；负责微信公众号、微博等平台的日常内容更新与维护
130,内容运营,否,博士,10年以上,深圳,一线城市,500-2000人,26900,管理内容日历，确保各渠道内容按时发布；挖掘用户内容偏好，产出针对性内容策略；建立内容素材库和分类标签体系；策划并撰写高质量原创内容（图文/视频脚本/专题）
131,新媒体运营经理,否,本科,1-3年,南宁,二线城市,150-500人,4000,研究竞品动态和行业趋势，调整运营打法；统筹跨部门协作，推动品牌传播项目落地；分析运营数据，优化内容方向和投放策略；带领运营团队完成各平台粉丝增长与互动目标；管理运营预算，控制投入产出比(ROI)
132,新媒体运营专员,否,本科,10年以上,长沙,新一线城市,500-2000人,7900,回复用户评论和私信，维护品牌形象；撰写新媒体文案，策划选题并执行内容发布；跟踪热点话题，快速产出相关内容提升曝光；协助策划线上活动，提升粉丝活跃度和粘性；监测运营数据（阅读量、粉丝增长、互动率），输出周报
133,智能投放运营,是,博士,5-10年,贵阳,二线城市,500-2000人,17100,探索AI在跨平台投放归因分析和预算最优分配中的应用；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；监控AI投放ROI，持续优化模型参数和投放策略；通过AI分析投放数据，自动调整人群定向和投放时段
134,AI内容策划,是,硕士,1年以下,长沙,新一线城市,50-150人,9500,结合AI数据分析用户内容偏好，制定内容策略方向；运用大语言模型辅助选题生成、内容大纲和初稿撰写；建立AI内容质量评估标准，把控机器生成内容质量；探索RAG（检索增强生成）技术在内容生产中的应用；对比不同AI模型的内容产出效果，持续优化选题和prompt
135,新媒体运营专员,否,大专,1-3年,上海,一线城市,150-500人,5700,负责微信公众号、微博等平台的日常内容更新与维护；监测运营数据（阅读量、粉丝增长、互动率），输出周报；回复用户评论和私信，维护品牌形象；撰写新媒体文案，策划选题并执行内容发布
136,AI短视频运营,是,本科,1年以下,北京,一线城市,150-500人,9000,运用AI分析短视频平台算法，优化发布时间和内容策略；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；分析AI生成的视频数据，迭代提示词和制作流程；探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）
137,新媒体运营总监,否,大专,10年以上,北京,一线城市,500-2000人,10000,制定公司新媒体战略方向及中长期发展规划；代表公司参与行业峰会，维护媒体关系和品牌声誉；建立数据驱动的运营体系，对核心KPI负责；推动新媒体与传统业务融合，探索商业变现路径；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏
138,内容运营,否,本科,1-3年,南昌,二线城市,15-50人,2700,挖掘用户内容偏好，产出针对性内容策略；优化内容标题、封面、关键词，提升SEO/推荐效果；分析内容数据（阅读量、完读率、转发率）持续迭代；建立内容素材库和分类标签体系；管理内容日历，确保各渠道内容按时发布
139,AI新媒体运营,是,大专,3-5年,成都,新一线城市,50-150人,7500,探索AI+运营的创新场景，提升团队整体效率；通过AIGC工具（Midjourney/Sora/可灵）制作图文和视频素材；利用AI分析用户画像和行为数据，制定精准运营策略；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容；搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）
140,AI内容策划,是,大专,1-3年,上海,一线城市,150-500人,7800,对比不同AI模型的内容产出效果，持续优化选题和prompt；探索RAG（检索增强生成）技术在内容生产中的应用；结合AI数据分析用户内容偏好，制定内容策略方向；建立AI内容质量评估标准，把控机器生成内容质量
141,新媒体运营经理,否,大专,1年以下,长沙,新一线城市,500-2000人,2700,带领运营团队完成各平台粉丝增长与互动目标；统筹跨部门协作，推动品牌传播项目落地；管理运营预算，控制投入产出比(ROI)
142,社群运营,否,本科,1年以下,北京,一线城市,50-150人,6700,培养社群KOC，激励用户自发裂变拉新；策划社群活动（秒杀/拼团/打卡/直播）提升转化率；搭建并管理微信社群/企业微信群（拉新→活跃→转化）；制定社群SOP（群规/入群欢迎语/日常互动流程）
143,品牌运营,否,本科,5-10年,北京,一线城市,15-50人,8900,分析品牌健康度指标（认知度/好感度/搜索指数）；制定品牌在新媒体渠道的传播策略和调性定位；策划品牌营销事件（联名/跨界/节日营销）；监测品牌舆情和口碑，及时进行声誉管理；协调外部媒体和KOL资源，扩大品牌声量
144,新媒体运营专员,否,博士,5-10年,深圳,一线城市,500-2000人,26000,协助策划线上活动，提升粉丝活跃度和粘性；撰写新媒体文案，策划选题并执行内容发布；负责微信公众号、微博等平台的日常内容更新与维护
145,新媒体运营专员,否,本科,3-5年,成都,新一线城市,2000人以上,7800,跟踪热点话题，快速产出相关内容提升曝光；负责微信公众号、微博等平台的日常内容更新与维护；撰写新媒体文案，策划选题并执行内容发布；协助策划线上活动，提升粉丝活跃度和粘性；监测运营数据（阅读量、粉丝增长、互动率），输出周报
146,大模型提示词运营,是,本科,3-5年,西安,新一线城市,150-500人,8700,搭建和维护企业的提示词（Prompt）模板库；针对不同业务场景设计并优化大模型提示词策略；建立Prompt版本管理和A/B测试机制，持续迭代最优方案
147,内容运营,否,本科,1-3年,南昌,二线城市,2000人以上,3700,管理内容日历，确保各渠道内容按时发布；优化内容标题、封面、关键词，提升SEO/推荐效果；分析内容数据（阅读量、完读率、转发率）持续迭代；挖掘用户内容偏好，产出针对性内容策略
148,品牌运营,否,本科,1-3年,苏州,新一线城市,150-500人,5400,管理品牌官方账号矩阵，统一视觉和语言风格；监测品牌舆情和口碑，及时进行声誉管理；协调外部媒体和KOL资源，扩大品牌声量
149,大模型提示词运营,是,本科,1-3年,上海,一线城市,500-2000人,10500,建立Prompt版本管理和A/B测试机制，持续迭代最优方案；针对不同业务场景设计并优化大模型提示词策略；搭建和维护企业的提示词（Prompt）模板库
150,用户运营,否,大专,1年以下,上海,一线城市,2000人以上,4900,维护核心用户社群，培养KOC并引导UGC产出；策划用户激励活动（签到/积分/会员权益）；搭建用户分层体系（新用户/活跃用户/沉睡用户）
151,内容运营,否,博士,1-3年,武汉,新一线城市,2000人以上,14300,分析内容数据（阅读量、完读率、转发率）持续迭代；管理内容日历，确保各渠道内容按时发布；优化内容标题、封面、关键词，提升SEO/推荐效果；策划并撰写高质量原创内容（图文/视频脚本/专题）
152,AIGC内容运营,是,本科,10年以上,长沙,新一线城市,15-50人,11600,全面负责AIGC工具选型（文生图/文生视频/文生音乐）；建立AIGC素材版权管理机制，确保合规使用；跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性；制定AIGC内容生产SOP和质量审核流程；训练和调优Stable Diffusion/Midjourney等模型的提示词库
153,智能营销运营,是,本科,5-10年,长沙,新一线城市,150-500人,10100,利用AI进行营销人群定向和智能投放策略优化；运用AI进行A/B测试分析和营销素材智能优化；结合大模型进行营销文案自动生成和多版本测试；搭建基于机器学习的用户生命周期价值(LTV)预测模型；通过自然语言处理(NLP)分析用户评论和舆情趋势
154,大模型提示词运营,是,本科,5-10年,深圳,一线城市,2000人以上,13600,编写Prompt工程规范文档，培训团队成员使用AI工具；探索CoT/ToT等提示工程技术提升复杂任务效果；搭建和维护企业的提示词（Prompt）模板库；针对不同业务场景设计并优化大模型提示词策略；建立Prompt版本管理和A/B测试机制，持续迭代最优方案
155,智能投放运营,是,博士,5-10年,济南,二线城市,500-2000人,18300,搭建基于机器学习的智能出价和预算分配模型；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；探索AI在跨平台投放归因分析和预算最优分配中的应用；利用AI进行投放素材的智能生成和动态创意优化(DCO)；通过AI分析投放数据，自动调整人群定向和投放时段
156,AI短视频运营,是,博士,5-10年,南昌,二线城市,500-2000人,12800,运用AI分析短视频平台算法，优化发布时间和内容策略；探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；使用AI工具进行批量视频剪辑、字幕生成和配音
157,短视频运营,否,本科,5-10年,深圳,一线城市,15-50人,10100,分析短视频数据（完播率、点赞、涨粉）优化内容；跟进拍摄和后期剪辑，把控成片质量；负责抖音、快手、视频号等短视频平台的账号运营；研究平台算法规则，提升视频推荐量和曝光；对接达人/KOL资源，策划合作推广内容
158,直播运营,否,本科,1年以下,深圳,一线城市,50-150人,5700,负责直播间的日常运营和排期管理；策划直播主题和脚本，协调主播和商品资源；维护粉丝群，提升复购率和用户粘性；分析竞品直播间打法，迭代直播话术和节奏；监控直播数据（在线人数/互动率/GMV）实时调整策略
159,智能投放运营,是,硕士,5-10年,南京,新一线城市,150-500人,15700,通过AI分析投放数据，自动调整人群定向和投放时段；利用AI进行投放素材的智能生成和动态创意优化(DCO)；搭建基于机器学习的智能出价和预算分配模型；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；监控AI投放ROI，持续优化模型参数和投放策略
160,AI数据分析运营,是,博士,5-10年,南宁,二线城市,2000人以上,22300,利用AI进行竞品数据采集和分析，输出竞争情报；为运营团队提供AI数据洞察，驱动精细化运营决策；运用大模型进行非结构化运营数据（评论/反馈）的语义分析；开发AI驱动的自动化数据看板和预警系统；搭建基于AI的用户行为分析和预测模型
161,用户运营,否,本科,3-5年,重庆,新一线城市,500-2000人,8200,建立用户反馈闭环机制，推动产品优化；维护核心用户社群，培养KOC并引导UGC产出；策划用户激励活动（签到/积分/会员权益）；通过用户调研和数据分析洞察用户需求；设计用户增长策略，提升拉新转化率和留存率
162,大模型提示词运营,是,大专,1-3年,遵义,三线城市,2000人以上,3300,搭建和维护企业的提示词（Prompt）模板库；探索CoT/ToT等提示工程技术提升复杂任务效果；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；编写Prompt工程规范文档，培训团队成员使用AI工具
163,智能营销运营,是,本科,3-5年,贵阳,二线城市,150-500人,6900,结合大模型进行营销文案自动生成和多版本测试；运用AI进行A/B测试分析和营销素材智能优化；通过自然语言处理(NLP)分析用户评论和舆情趋势；搭建基于机器学习的用户生命周期价值(LTV)预测模型；设计AI驱动的个性化推荐和营销自动化流程
164,品牌运营,否,本科,3-5年,深圳,一线城市,50-150人,10800,管理品牌官方账号矩阵，统一视觉和语言风格；策划品牌营销事件（联名/跨界/节日营销）；协调外部媒体和KOL资源，扩大品牌声量
165,AI短视频运营,是,本科,3-5年,西安,新一线城市,2000人以上,13000,运用AI分析短视频平台算法，优化发布时间和内容策略；使用AI工具进行批量视频剪辑、字幕生成和配音；通过AI数字人技术打造24小时直播/短视频产能；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）
166,直播运营,否,大专,1年以下,郑州,新一线城市,2000人以上,3400,维护粉丝群，提升复购率和用户粘性；负责直播间的日常运营和排期管理；策划直播主题和脚本，协调主播和商品资源；管理直播投流（千川/聚星），优化ROI；分析竞品直播间打法，迭代直播话术和节奏
167,品牌运营,否,大专,3-5年,杭州,一线城市,150-500人,5500,分析品牌健康度指标（认知度/好感度/搜索指数）；管理品牌官方账号矩阵，统一视觉和语言风格；协调外部媒体和KOL资源，扩大品牌声量；策划品牌营销事件（联名/跨界/节日营销）；监测品牌舆情和口碑，及时进行声誉管理
168,内容运营,否,本科,1-3年,济南,二线城市,2000人以上,5600,挖掘用户内容偏好，产出针对性内容策略；分析内容数据（阅读量、完读率、转发率）持续迭代；优化内容标题、封面、关键词，提升SEO/推荐效果
169,AI短视频运营,是,大专,5-10年,北京,一线城市,500-2000人,14900,探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）；分析AI生成的视频数据，迭代提示词和制作流程；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材
170,用户运营,否,硕士,1-3年,上海,一线城市,15-50人,11400,建立用户反馈闭环机制，推动产品优化；搭建用户分层体系（新用户/活跃用户/沉睡用户）；设计用户增长策略，提升拉新转化率和留存率；维护核心用户社群，培养KOC并引导UGC产出
171,活动运营,否,博士,3-5年,遵义,三线城市,2000人以上,8800,策划并执行线上营销活动（促销/拉新/裂变/节日活动）；协调设计、产品、技术等资源推动活动上线；活动结束后输出复盘报告，沉淀方法论；研究行业优秀活动案例，建立活动创意库
172,短视频运营,否,大专,3-5年,南宁,二线城市,50-150人,2900,负责抖音、快手、视频号等短视频平台的账号运营；跟进拍摄和后期剪辑，把控成片质量；策划短视频内容选题，撰写分镜脚本；研究平台算法规则，提升视频推荐量和曝光；分析短视频数据（完播率、点赞、涨粉）优化内容
173,AIGC内容运营,是,本科,1-3年,上海,一线城市,50-150人,9300,跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性；制定AIGC内容生产SOP和质量审核流程；训练和调优Stable Diffusion/Midjourney等模型的提示词库；探索AI在内容创意、视觉设计、音视频制作中的落地应用
174,大模型提示词运营,是,本科,1-3年,武汉,新一线城市,500-2000人,7100,探索CoT/ToT等提示工程技术提升复杂任务效果；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；针对不同业务场景设计并优化大模型提示词策略
175,新媒体运营总监,否,硕士,1年以下,福州,二线城市,500-2000人,5900,建立数据驱动的运营体系，对核心KPI负责；代表公司参与行业峰会，维护媒体关系和品牌声誉；制定公司新媒体战略方向及中长期发展规划；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；搭建并管理新媒体运营团队（10-50人）
176,智能营销运营,是,博士,5-10年,福州,二线城市,150-500人,17800,设计AI驱动的个性化推荐和营销自动化流程；运用AI进行A/B测试分析和营销素材智能优化；通过自然语言处理(NLP)分析用户评论和舆情趋势；利用AI进行营销人群定向和智能投放策略优化
177,短视频运营,否,本科,1-3年,苏州,新一线城市,2000人以上,5100,跟进拍摄和后期剪辑，把控成片质量；策划短视频内容选题，撰写分镜脚本；负责抖音、快手、视频号等短视频平台的账号运营
178,AI内容策划,是,硕士,5-10年,广州,一线城市,150-500人,16600,运用大语言模型辅助选题生成、内容大纲和初稿撰写；利用AIGC工具批量生产图文、视频等多模态内容；结合AI数据分析用户内容偏好，制定内容策略方向；探索RAG（检索增强生成）技术在内容生产中的应用；对比不同AI模型的内容产出效果，持续优化选题和prompt
179,AI数据分析运营,是,本科,5-10年,长沙,新一线城市,15-50人,6100,利用AI进行竞品数据采集和分析，输出竞争情报；运用大模型进行非结构化运营数据（评论/反馈）的语义分析；为运营团队提供AI数据洞察，驱动精细化运营决策；开发AI驱动的自动化数据看板和预警系统
180,新媒体运营总监,否,本科,1-3年,上海,一线城市,2000人以上,11600,统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；推动新媒体与传统业务融合，探索商业变现路径；建立数据驱动的运营体系，对核心KPI负责；搭建并管理新媒体运营团队（10-50人）；代表公司参与行业峰会，维护媒体关系和品牌声誉
181,智能投放运营,是,大专,3-5年,赣州,三线城市,150-500人,2300,探索AI在跨平台投放归因分析和预算最优分配中的应用；利用AI进行投放素材的智能生成和动态创意优化(DCO)；搭建基于机器学习的智能出价和预算分配模型；通过AI分析投放数据，自动调整人群定向和投放时段
182,社群运营,否,本科,3-5年,北京,一线城市,500-2000人,8400,培养社群KOC，激励用户自发裂变拉新；分析社群数据（入群率、活跃度、转化率、流失率）；搭建并管理微信社群/企业微信群（拉新→活跃→转化）；制定社群SOP（群规/入群欢迎语/日常互动流程）；策划社群活动（秒杀/拼团/打卡/直播）提升转化率
183,AI内容策划,是,本科,1年以下,宜宾,三线城市,500-2000人,3600,利用AIGC工具批量生产图文、视频等多模态内容；建立AI内容质量评估标准，把控机器生成内容质量；探索RAG（检索增强生成）技术在内容生产中的应用；结合AI数据分析用户内容偏好，制定内容策略方向；对比不同AI模型的内容产出效果，持续优化选题和prompt
184,用户运营,否,大专,1-3年,广州,一线城市,50-150人,4000,通过用户调研和数据分析洞察用户需求；建立用户反馈闭环机制，推动产品优化；策划用户激励活动（签到/积分/会员权益）
185,AI数据分析运营,是,大专,3-5年,贵阳,二线城市,150-500人,4600,通过机器学习预测粉丝增长趋势和内容爆款概率；搭建基于AI的用户行为分析和预测模型；利用AI进行竞品数据采集和分析，输出竞争情报
186,活动运营,否,本科,3-5年,成都,新一线城市,500-2000人,8300,监控活动实时数据，动态调整策略以提升效果；研究行业优秀活动案例，建立活动创意库；活动结束后输出复盘报告，沉淀方法论；策划并执行线上营销活动（促销/拉新/裂变/节日活动）
187,AI内容策划,是,大专,3-5年,长沙,新一线城市,500-2000人,5500,运用大语言模型辅助选题生成、内容大纲和初稿撰写；建立AI内容质量评估标准，把控机器生成内容质量；利用AIGC工具批量生产图文、视频等多模态内容；对比不同AI模型的内容产出效果，持续优化选题和prompt
188,AI内容策划,是,硕士,1-3年,深圳,一线城市,150-500人,16400,运用大语言模型辅助选题生成、内容大纲和初稿撰写；建立AI内容质量评估标准，把控机器生成内容质量；利用AIGC工具批量生产图文、视频等多模态内容；探索RAG（检索增强生成）技术在内容生产中的应用
189,社群运营,否,本科,1-3年,北京,一线城市,50-150人,6200,制定社群SOP（群规/入群欢迎语/日常互动流程）；分析社群数据（入群率、活跃度、转化率、流失率）；处理群内投诉和负面情绪，维护社群氛围；培养社群KOC，激励用户自发裂变拉新
190,直播运营,否,本科,1年以下,北京,一线城市,50-150人,7600,负责直播间的日常运营和排期管理；分析竞品直播间打法，迭代直播话术和节奏；维护粉丝群，提升复购率和用户粘性；管理直播投流（千川/聚星），优化ROI；策划直播主题和脚本，协调主播和商品资源
191,社群运营,否,博士,5-10年,重庆,新一线城市,2000人以上,16200,处理群内投诉和负面情绪，维护社群氛围；分析社群数据（入群率、活跃度、转化率、流失率）；培养社群KOC，激励用户自发裂变拉新；制定社群SOP（群规/入群欢迎语/日常互动流程）；策划社群活动（秒杀/拼团/打卡/直播）提升转化率
192,智能营销运营,是,大专,1年以下,遵义,三线城市,2000人以上,3200,运用AI进行A/B测试分析和营销素材智能优化；结合大模型进行营销文案自动生成和多版本测试；通过自然语言处理(NLP)分析用户评论和舆情趋势；设计AI驱动的个性化推荐和营销自动化流程
193,品牌运营,否,本科,1-3年,宜宾,三线城市,500-2000人,3200,策划品牌营销事件（联名/跨界/节日营销）；协调外部媒体和KOL资源，扩大品牌声量；监测品牌舆情和口碑，及时进行声誉管理；制定品牌在新媒体渠道的传播策略和调性定位
194,新媒体运营经理,否,本科,1-3年,南昌,二线城市,2000人以上,4200,带领运营团队完成各平台粉丝增长与互动目标；研究竞品动态和行业趋势，调整运营打法；管理运营预算，控制投入产出比(ROI)
195,用户运营,否,本科,1-3年,苏州,新一线城市,500-2000人,6700,建立用户反馈闭环机制，推动产品优化；设计用户增长策略，提升拉新转化率和留存率；维护核心用户社群，培养KOC并引导UGC产出；搭建用户分层体系（新用户/活跃用户/沉睡用户）
196,AI短视频运营,是,博士,5-10年,广州,一线城市,50-150人,26400,使用AI工具进行批量视频剪辑、字幕生成和配音；通过AI数字人技术打造24小时直播/短视频产能；运用AI分析短视频平台算法，优化发布时间和内容策略
197,直播运营,否,大专,1-3年,上海,一线城市,2000人以上,8100,分析竞品直播间打法，迭代直播话术和节奏；管理直播投流（千川/聚星），优化ROI；策划直播主题和脚本，协调主播和商品资源；监控直播数据（在线人数/互动率/GMV）实时调整策略；维护粉丝群，提升复购率和用户粘性
198,活动运营,否,大专,1-3年,昆明,二线城市,500-2000人,2700,活动结束后输出复盘报告，沉淀方法论；监控活动实时数据，动态调整策略以提升效果；协调设计、产品、技术等资源推动活动上线
199,AI数据分析运营,是,硕士,3-5年,广州,一线城市,2000人以上,24700,搭建基于AI的用户行为分析和预测模型；开发AI驱动的自动化数据看板和预警系统；通过机器学习预测粉丝增长趋势和内容爆款概率；为运营团队提供AI数据洞察，驱动精细化运营决策；利用AI进行竞品数据采集和分析，输出竞争情报
200,新媒体运营总监,否,大专,1-3年,成都,新一线城市,50-150人,3900,统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；推动新媒体与传统业务融合，探索商业变现路径；代表公司参与行业峰会，维护媒体关系和品牌声誉；制定公司新媒体战略方向及中长期发展规划
201,内容运营,否,硕士,5-10年,广州,一线城市,15-50人,13800,管理内容日历，确保各渠道内容按时发布；策划并撰写高质量原创内容（图文/视频脚本/专题）；分析内容数据（阅读量、完读率、转发率）持续迭代；优化内容标题、封面、关键词，提升SEO/推荐效果；挖掘用户内容偏好，产出针对性内容策略
202,品牌运营,否,博士,10年以上,上海,一线城市,150-500人,26000,策划品牌营销事件（联名/跨界/节日营销）；监测品牌舆情和口碑，及时进行声誉管理；管理品牌官方账号矩阵，统一视觉和语言风格；分析品牌健康度指标（认知度/好感度/搜索指数）
203,品牌运营,否,大专,1-3年,成都,新一线城市,2000人以上,4700,监测品牌舆情和口碑，及时进行声誉管理；管理品牌官方账号矩阵，统一视觉和语言风格；策划品牌营销事件（联名/跨界/节日营销）；分析品牌健康度指标（认知度/好感度/搜索指数）；协调外部媒体和KOL资源，扩大品牌声量
